resume_text,job_description,match_score,match_label
"Terraform Engineer with 4 years working across active teams. Demonstrated technical execution and history background includes: Docker, Kubernetes, AWS Cloud Platform, Terraform. Seeking an engineering position to scale architectural patterns.","We are looking for a Site Reliability Engineer with a minimum of 4+ years of experience. The core technical stack requirements involve deep knowledge in: Docker Containers, Kubernetes, Cloud Infrastructure (AWS), Infrastructure as Code (IaC), Python3. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7893,medium
"Software Engineer with 5 years working across active teams. Demonstrated technical execution and history background includes: Modern JS, React.js, Architected distributed pipelines via Server-side Runtime, Postgres, Led migration frameworks utilizing Typed JavaScript, Led migration frameworks utilizing Docker Containers. Seeking an engineering position to scale architectural patterns.","We are looking for a Backend Engineer with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: ECMAScript, Frontend React Framework, Node, PgSQL, TypeScript, Docker Containers. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.9878,high
"DevOps Specialist with 4 years working across active teams. Demonstrated technical execution and history background includes: Academic projects utilizing OCI Containers, Container Orchestration Engine, Cloud Infrastructure (AWS), Terraform. Seeking an engineering position to scale architectural patterns.","We are looking for a Site Reliability Engineer with a minimum of 7+ years of experience. The core technical stack requirements involve deep knowledge in: Docker Containers, Kubernetes, AWS, Infrastructure as Code (IaC), Py3 Engine. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7245,medium
"Cloud Engineer with 1 years working across active teams. Demonstrated technical execution and history background includes: Kubernetes, Infrastructure as Code (IaC), Exposure to Python3. Seeking an engineering position to scale architectural patterns.","We are looking for a DevOps Cloud Engineer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Docker, Container Orchestration Engine, AWS, Terraform, Python. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.2114,low
"Cloud Engineer with 6 years working across active teams. Demonstrated technical execution and history background includes: Container Orchestration Engine, AWS Cloud Platform, Self-taught concepts in Terraform, Py3 Engine. Seeking an engineering position to scale architectural patterns.","We are looking for a Site Reliability Engineer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: OCI Containers, K8s, Cloud Infrastructure (AWS), Terraform, Python. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7533,medium
"Statistical Researcher with 5 years working across active teams. Demonstrated technical execution and history background includes: Advanced optimization execution for Python, PostgreSQL, Statistical Modeling, GenAI, Advanced optimization execution for Cloud Infrastructure (AWS). Seeking an engineering position to scale architectural patterns.","We are looking for a Quantitative Analytics Expert with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, PostgreSQL, Statistical Modeling, Artificial Intelligence, Amazon Web Services. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8264,high
"Systems Automation Developer with 2 years working across active teams. Demonstrated technical execution and history background includes: Kubernetes, AWS Cloud Platform, Terraform, Self-taught concepts in Python3. Seeking an engineering position to scale architectural patterns.","We are looking for a Site Reliability Engineer with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Docker Containers, Kubernetes, AWS Cloud Platform, Terraform, Python. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.757,medium
"React Developer with 7 years working across active teams. Demonstrated technical execution and history background includes: React, Node.js, Theoretical knowledge of Relational DB Engine, Typed JavaScript, Docker Containers. Seeking an engineering position to scale architectural patterns.","We are looking for a Full Stack Developer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: JS, React, Node, PgSQL, Typed JavaScript, Docker. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.954,medium
"ML Engineer with 3 years working across active teams. Demonstrated technical execution and history background includes: Basic understanding of Py3 Engine, Predictive AI, Academic projects utilizing Container Orchestration Engine, OCI Containers, Cloud Infrastructure (AWS). Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, ML, GenAI, Container Orchestration Engine, OCI Containers, AWS. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.4682,medium
"ML Engineer with 3 years working across active teams. Demonstrated technical execution and history background includes: Basic understanding of Python, Deep Learning Architectures, Containerization, AWS Cloud Platform. Seeking an engineering position to scale architectural patterns.","We are looking for a Computer Vision Scientist with a minimum of 7+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, ML, Deep Learning Architectures, Container Orchestration Engine, OCI Containers, AWS Cloud Platform. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.3747,low
"Deep Learning Practitioner with 6 years working across active teams. Demonstrated technical execution and history background includes: Worked with Machine Learning in minor capacity, Familiar with Deep Learning Architectures, Container Orchestration Engine, Docker Containers, AWS Cloud Platform. Seeking an engineering position to scale architectural patterns.","We are looking for a Computer Vision Scientist with a minimum of 7+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, Statistical Modeling, Deep Learning Architectures, Kubernetes, Docker Containers, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.609,medium
"Data Scientist with 4 years working across active teams. Demonstrated technical execution and history background includes: Led migration frameworks utilizing Py3 Engine, Relational DB Engine, Machine Learning, Led migration frameworks utilizing GenAI, Production-grade engineering in Cloud Infrastructure (AWS). Seeking an engineering position to scale architectural patterns.","We are looking for a Quantitative Analytics Expert with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, Postgres, Machine Learning, GenAI, Amazon Web Services. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.9251,high
"UI Engineer with 5 years working across active teams. Demonstrated technical execution and history background includes: Basic understanding of ECMAScript, Worked with ReactJS in minor capacity, Self-taught concepts in Server-side Runtime, TS. Seeking an engineering position to scale architectural patterns.","We are looking for a Full Stack Developer with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: JavaScript, ReactJS, Node, PgSQL, Typed JavaScript, OCI Containers. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7699,low
"ML Engineer with 8 years working across active teams. Demonstrated technical execution and history background includes: Py3 Engine, Familiar with Machine Learning, Deep Learning Architectures, Container Orchestration Engine, AWS. Seeking an engineering position to scale architectural patterns.","We are looking for a Computer Vision Scientist with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, Statistical Modeling, GenAI, Container Orchestration Engine, Docker Containers, AWS. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7471,medium
"Full-End Engineer with 3 years working across active teams. Demonstrated technical execution and history background includes: Worked with Modern JS in minor capacity, Exposure to Frontend React Framework, Node.js, PostgreSQL, Theoretical knowledge of TypeScript. Seeking an engineering position to scale architectural patterns.","We are looking for a Backend Engineer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: ECMAScript, ReactJS, NodeJS, PostgreSQL, TypeScript, Docker Containers. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.5841,medium
"Software Systems Developer with 3 years working across active teams. Demonstrated technical execution and history background includes: Modern JS, ReactJS, Node, Relational DB Engine, Docker Containers. Seeking an engineering position to scale architectural patterns.","We are looking for a Server-Side Developer with a minimum of 4+ years of experience. The core technical stack requirements involve deep knowledge in: JS, React.js, Node, Relational DB Engine, TypeScript, Containerization. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.6407,medium
"Full-End Engineer with 0 years working across active teams. Demonstrated technical execution and history background includes: Exposure to Modern JS, React, TypeScript, Containerization. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior Software Engineer with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Modern JS, ReactJS, Node.js, PostgreSQL, TypeScript, Docker. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.2714,low
"Machine Learning Specialist with 4 years working across active teams. Demonstrated technical execution and history background includes: Machine Learning, Familiar with AI, Container Orchestration Engine, OCI Containers, AWS. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, ML, GenAI, Container Orchestration Engine, Docker, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.4191,medium
"Cloud Engineer with 9 years working across active teams. Demonstrated technical execution and history background includes: OCI Containers, Basic understanding of Cloud Infrastructure (AWS), Self-taught concepts in Terraform, Basic understanding of Py3 Engine. Seeking an engineering position to scale architectural patterns.","We are looking for a Infrastructure Platform Architect with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: OCI Containers, Container Orchestration Engine, Cloud Infrastructure (AWS), Terraform, Python. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7223,high
"ML Engineer with 5 years working across active teams. Demonstrated technical execution and history background includes: Py3 Engine, Led migration frameworks utilizing ML, Artificial Intelligence, Kubernetes, OCI Containers, Cloud Infrastructure (AWS). Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, ML, Deep Learning Architectures, Kubernetes, Docker, AWS Cloud Platform. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8404,high
"Software Engineer with 4 years working across active teams. Demonstrated technical execution and history background includes: Worked with JavaScript in minor capacity, Frontend React Framework, Server-side Runtime, Basic understanding of Typed JavaScript, Docker Containers. Seeking an engineering position to scale architectural patterns.","We are looking for a Backend Engineer with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: Modern JS, React.js, NodeJS, PgSQL, TypeScript, Docker. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7254,low
"Terraform Engineer with 3 years working across active teams. Demonstrated technical execution and history background includes: Production-grade engineering in Containerization, Architected distributed pipelines via K8s, Subject matter expert in AWS Cloud Platform, Led migration frameworks utilizing Infrastructure as Code (IaC), Architected distributed pipelines via Py3 Engine. Seeking an engineering position to scale architectural patterns.","We are looking for a DevOps Cloud Engineer with a minimum of 4+ years of experience. The core technical stack requirements involve deep knowledge in: Containerization, Container Orchestration Engine, Amazon Web Services, Infrastructure as Code (IaC), Py3 Engine. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8757,high
"Systems Automation Developer with 2 years working across active teams. Demonstrated technical execution and history background includes: Docker Containers, Basic understanding of AWS Cloud Platform, Familiar with Terraform, Python3. Seeking an engineering position to scale architectural patterns.","We are looking for a Infrastructure Platform Architect with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Docker Containers, K8s, AWS Cloud Platform, Terraform, Python3. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.4823,low
"Data Scientist with 3 years working across active teams. Demonstrated technical execution and history background includes: Python, Postgres, AI, Self-taught concepts in Cloud Infrastructure (AWS). Seeking an engineering position to scale architectural patterns.","We are looking for a Quantitative Analytics Expert with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: Python, PgSQL, ML, GenAI, AWS Cloud Platform. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7683,medium
"AI Engineer with 2 years working across active teams. Demonstrated technical execution and history background includes: Familiar with Python, Familiar with Statistical Modeling, GenAI, Container Orchestration Engine, Self-taught concepts in Containerization. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, Predictive AI, Deep Learning Architectures, Kubernetes, Docker, AWS Cloud Platform. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.5917,medium
"Software Engineer with 4 years working across active teams. Demonstrated technical execution and history background includes: Self-taught concepts in JS, Frontend React Framework, Node.js, TypeScript, Exposure to OCI Containers. Seeking an engineering position to scale architectural patterns.","We are looking for a Server-Side Developer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: ECMAScript, Frontend React Framework, NodeJS, PgSQL, TS, Docker Containers. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.4632,high
"React Developer with 1 years working across active teams. Demonstrated technical execution and history background includes: Exposure to JS, Basic understanding of Node.js, Academic projects utilizing PgSQL, Docker Containers. Seeking an engineering position to scale architectural patterns.","We are looking for a Backend Developer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: JS, React, Node, PgSQL, TS, Docker Containers. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.254,low
"Data Analyst with 4 years working across active teams. Demonstrated technical execution and history background includes: Py3 Engine, Basic understanding of Postgres, Basic understanding of Machine Learning, Basic understanding of Artificial Intelligence. Seeking an engineering position to scale architectural patterns.","We are looking for a Lead Product Analyst with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, Postgres, Predictive AI, Deep Learning Architectures, AWS. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7819,medium
"Cloud Engineer with 9 years working across active teams. Demonstrated technical execution and history background includes: OCI Containers, Container Orchestration Engine, Self-taught concepts in AWS, Infrastructure as Code (IaC). Seeking an engineering position to scale architectural patterns.","We are looking for a Site Reliability Engineer with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Docker Containers, K8s, Amazon Web Services, Infrastructure as Code (IaC), Py3 Engine. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8392,medium
"React Developer with 2 years working across active teams. Demonstrated technical execution and history background includes: Basic understanding of Modern JS, Worked with Frontend React Framework in minor capacity, Basic understanding of Node, Typed JavaScript, Containerization. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior Software Engineer with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Modern JS, ReactJS, Node, PgSQL, TypeScript, Containerization. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.5702,medium
"AI Engineer with 7 years working across active teams. Demonstrated technical execution and history background includes: Python, Led migration frameworks utilizing Statistical Modeling, AI, Container Orchestration Engine, Containerization, Led migration frameworks utilizing AWS. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 7+ years of experience. The core technical stack requirements involve deep knowledge in: Python, Predictive AI, Artificial Intelligence, Container Orchestration Engine, OCI Containers, AWS. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.968,high
"AI Engineer with 4 years working across active teams. Demonstrated technical execution and history background includes: Production-grade engineering in Python3, Statistical Modeling, Artificial Intelligence, Architected distributed pipelines via K8s, Led migration frameworks utilizing Docker Containers, Cloud Infrastructure (AWS). Seeking an engineering position to scale architectural patterns.","We are looking for a Computer Vision Scientist with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, ML, Deep Learning Architectures, Kubernetes, Docker, AWS. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8001,high
"React Developer with 0 years working across active teams. Demonstrated technical execution and history background includes: Familiar with Node.js, Typed JavaScript, Academic projects utilizing OCI Containers. Seeking an engineering position to scale architectural patterns.","We are looking for a Server-Side Developer with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: JS, Frontend React Framework, Node.js, Postgres, TS, OCI Containers. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.2111,medium
"AI Engineer with 10 years working across active teams. Demonstrated technical execution and history background includes: Python, Subject matter expert in Statistical Modeling, GenAI, Subject matter expert in K8s, Advanced optimization execution for Docker, Led migration frameworks utilizing Cloud Infrastructure (AWS). Seeking an engineering position to scale architectural patterns.","We are looking for a Computer Vision Scientist with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, ML, Deep Learning Architectures, Container Orchestration Engine, Containerization, AWS Cloud Platform. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8684,high
"Systems Automation Developer with 8 years working across active teams. Demonstrated technical execution and history background includes: Production-grade engineering in Docker Containers, Subject matter expert in K8s, AWS, Terraform, Python3. Seeking an engineering position to scale architectural patterns.","We are looking for a Infrastructure Platform Architect with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: OCI Containers, Container Orchestration Engine, Cloud Infrastructure (AWS), Infrastructure as Code (IaC), Python. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8598,high
"Software Systems Developer with 8 years working across active teams. Demonstrated technical execution and history background includes: Modern JS, Production-grade engineering in ReactJS, Node.js, PgSQL, TypeScript, Subject matter expert in OCI Containers. Seeking an engineering position to scale architectural patterns.","We are looking for a Full Stack Developer with a minimum of 7+ years of experience. The core technical stack requirements involve deep knowledge in: ECMAScript, ReactJS, Node, PostgreSQL, TypeScript, Containerization. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7683,high
"Data Scientist with 5 years working across active teams. Demonstrated technical execution and history background includes: Python3, Postgres, Machine Learning, Artificial Intelligence. Seeking an engineering position to scale architectural patterns.","We are looking for a Quantitative Analytics Expert with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, Relational DB Engine, Machine Learning, Deep Learning Architectures, Amazon Web Services. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7208,medium
"DevOps Specialist with 3 years working across active teams. Demonstrated technical execution and history background includes: Docker, Container Orchestration Engine, AWS Cloud Platform, Infrastructure as Code (IaC). Seeking an engineering position to scale architectural patterns.","We are looking for a Site Reliability Engineer with a minimum of 4+ years of experience. The core technical stack requirements involve deep knowledge in: OCI Containers, Container Orchestration Engine, AWS Cloud Platform, Terraform, Py3 Engine. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8199,medium
"Software Systems Developer with 10 years working across active teams. Demonstrated technical execution and history background includes: ECMAScript, Frontend React Framework, Server-side Runtime, Subject matter expert in PgSQL, Typed JavaScript, Production-grade engineering in OCI Containers. Seeking an engineering position to scale architectural patterns.","We are looking for a Backend Engineer with a minimum of 7+ years of experience. The core technical stack requirements involve deep knowledge in: JS, Frontend React Framework, Node, Relational DB Engine, TypeScript, Docker. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7113,high
"Analytics Engineer with 2 years working across active teams. Demonstrated technical execution and history background includes: Python, Predictive AI, AI, Advanced optimization execution for Amazon Web Services. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior Data Scientist with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, PgSQL, Predictive AI, Deep Learning Architectures, AWS. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.5288,high
"Cloud Engineer with 2 years working across active teams. Demonstrated technical execution and history background includes: Docker, Cloud Infrastructure (AWS), Architected distributed pipelines via Terraform. Seeking an engineering position to scale architectural patterns.","We are looking for a Site Reliability Engineer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Containerization, Kubernetes, AWS, Terraform, Py3 Engine. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.4272,high
"DevOps Specialist with 4 years working across active teams. Demonstrated technical execution and history background includes: OCI Containers, K8s, Cloud Infrastructure (AWS), Infrastructure as Code (IaC). Seeking an engineering position to scale architectural patterns.","We are looking for a Site Reliability Engineer with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: Containerization, K8s, Amazon Web Services, Infrastructure as Code (IaC), Python. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7924,medium
"UI Engineer with 2 years working across active teams. Demonstrated technical execution and history background includes: Frontend React Framework, Node, PostgreSQL. Seeking an engineering position to scale architectural patterns.","We are looking for a Server-Side Developer with a minimum of 7+ years of experience. The core technical stack requirements involve deep knowledge in: JS, ReactJS, NodeJS, PgSQL, TypeScript, OCI Containers. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.0,low
"ML Engineer with 4 years working across active teams. Demonstrated technical execution and history background includes: Python3, ML, Exposure to AI, Kubernetes, AWS Cloud Platform. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, ML, Deep Learning Architectures, K8s, Docker, Amazon Web Services. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.6005,low
"Data Scientist with 6 years working across active teams. Demonstrated technical execution and history background includes: Python, Worked with Relational DB Engine in minor capacity, ML, Deep Learning Architectures. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior Data Scientist with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Python, PostgreSQL, Machine Learning, GenAI, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.4884,medium
"ML Engineer with 10 years working across active teams. Demonstrated technical execution and history background includes: Python, Predictive AI, Subject matter expert in GenAI, K8s, Docker, Amazon Web Services. Seeking an engineering position to scale architectural patterns.","We are looking for a Computer Vision Scientist with a minimum of 7+ years of experience. The core technical stack requirements involve deep knowledge in: Python, Statistical Modeling, GenAI, K8s, Containerization, AWS. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7948,high
"DevOps Specialist with 0 years working across active teams. Demonstrated technical execution and history background includes: K8s, Python3. Seeking an engineering position to scale architectural patterns.","We are looking for a Site Reliability Engineer with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Docker Containers, Kubernetes, AWS Cloud Platform, Infrastructure as Code (IaC), Python3. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.0657,low
"Deep Learning Practitioner with 4 years working across active teams. Demonstrated technical execution and history background includes: Py3 Engine, Production-grade engineering in Predictive AI, Artificial Intelligence, Kubernetes, Subject matter expert in Docker Containers, Amazon Web Services. Seeking an engineering position to scale architectural patterns.","We are looking for a Computer Vision Scientist with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, ML, Deep Learning Architectures, Kubernetes, Docker, AWS Cloud Platform. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.9459,high
"Deep Learning Practitioner with 5 years working across active teams. Demonstrated technical execution and history background includes: Familiar with Python, Machine Learning, Kubernetes, Theoretical knowledge of Containerization, AWS. Seeking an engineering position to scale architectural patterns.","We are looking for a Computer Vision Scientist with a minimum of 7+ years of experience. The core technical stack requirements involve deep knowledge in: Python, ML, Artificial Intelligence, K8s, Docker, Amazon Web Services. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.6064,medium
"Machine Learning Specialist with 6 years working across active teams. Demonstrated technical execution and history background includes: Python, Production-grade engineering in Machine Learning, AI, K8s, Docker Containers, Amazon Web Services. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 4+ years of experience. The core technical stack requirements involve deep knowledge in: Python, Machine Learning, AI, Kubernetes, Containerization, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8904,high
"Cloud Engineer with 4 years working across active teams. Demonstrated technical execution and history background includes: OCI Containers, K8s, AWS Cloud Platform, Worked with Terraform in minor capacity. Seeking an engineering position to scale architectural patterns.","We are looking for a Site Reliability Engineer with a minimum of 7+ years of experience. The core technical stack requirements involve deep knowledge in: Containerization, Kubernetes, Amazon Web Services, Infrastructure as Code (IaC), Python. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.714,medium
"Systems Automation Developer with 8 years working across active teams. Demonstrated technical execution and history background includes: Self-taught concepts in K8s, AWS Cloud Platform, Exposure to Infrastructure as Code (IaC), Python. Seeking an engineering position to scale architectural patterns.","We are looking for a DevOps Cloud Engineer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Containerization, Kubernetes, Cloud Infrastructure (AWS), Infrastructure as Code (IaC), Py3 Engine. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.9577,medium
